;;;weiblich;männlich;
1999;Gallenblase und Gallenwege (C23-C24);60 - 64;363;228;
1999;Gallenblase und Gallenwege (C23-C24);65 - 69;350;271;
1999;Gallenblase und Gallenwege (C23-C24);70 - 74;557;331;
1999;Gallenblase und Gallenwege (C23-C24);75 - 79;774;289;
1999;Gallenblase und Gallenwege (C23-C24);80 - 84;542;163;
1999;Gallenblase und Gallenwege (C23-C24);85+;988;154;
1999;Bauchspeicheldrüse (C25);0 - 4;<5;<5;
1999;Bauchspeicheldrüse (C25);5 - 9;<5;<5;
1999;Bauchspeicheldrüse (C25);10 - 14;<5;<5;
1999;Bauchspeicheldrüse (C25);15 - 19;<5;<5;
1999;Bauchspeicheldrüse (C25);20 - 24;5;<5;
1999;Bauchspeicheldrüse (C25);25 - 29;<5;6;
1999;Bauchspeicheldrüse (C25);30 - 34;23;16;
1999;Bauchspeicheldrüse (C25);35 - 39;43;56;
1999;Bauchspeicheldrüse (C25);40 - 44;80;98;
1999;Bauchspeicheldrüse (C25);45 - 49;142;259;
1999;Bauchspeicheldrüse (C25);50 - 54;157;287;
1999;Bauchspeicheldrüse (C25);55 - 59;322;699;
1999;Bauchspeicheldrüse (C25);60 - 64;729;1.103;
1999;Bauchspeicheldrüse (C25);65 - 69;637;928;
1999;Bauchspeicheldrüse (C25);70 - 74;1.179;1.084;
1999;Bauchspeicheldrüse (C25);75 - 79;1.317;855;
1999;Bauchspeicheldrüse (C25);80 - 84;792;359;
1999;Bauchspeicheldrüse (C25);85+;1.338;459;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);0 - 4;<5;<5;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);5 - 9;<5;<5;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);10 - 14;<5;<5;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);15 - 19;<5;<5;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);20 - 24;<5;<5;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);25 - 29;<5;<5;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);30 - 34;<5;<5;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);35 - 39;<5;<5;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);40 - 44;<5;<5;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);45 - 49;6;9;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);50 - 54;10;11;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);55 - 59;18;27;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);60 - 64;27;41;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);65 - 69;35;102;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);70 - 74;57;52;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);75 - 79;79;48;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);80 - 84;112;30;
1999;sonstg./n.n.bez. Verdauungsorgane (C26);85+;473;45;
1999;Nasenhöhle und Mittelohr (C30);0 - 4;<5;<5;
1999;Nasenhöhle und Mittelohr (C30);5 - 9;<5;<5;
1999;Nasenhöhle und Mittelohr (C30);10 - 14;<5;<5;
1999;Nasenhöhle und Mittelohr (C30);15 - 19;<5;<5;
1999;Nasenhöhle und Mittelohr (C30);20 - 24;<5;<5;
1999;Nasenhöhle und Mittelohr (C30);25 - 29;<5;<5;
1999;Nasenhöhle und Mittelohr (C30);30 - 34;<5;<5;
1999;Nasenhöhle und Mittelohr (C30);35 - 39;6;10;
1999;Nasenhöhle und Mittelohr (C30);40 - 44;12;16;
1999;Nasenhöhle und Mittelohr (C30);45 - 49;12;22;
1999;Nasenhöhle und Mittelohr (C30);50 - 54;15;22;
1999;Nasenhöhle und Mittelohr (C30);55 - 59;18;36;
1999;Nasenhöhle und Mittelohr (C30);60 - 64;22;45;
1999;Nasenhöhle und Mittelohr (C30);65 - 69;15;31;
1999;Nasenhöhle und Mittelohr (C30);70 - 74;17;31;
1999;Nasenhöhle und Mittelohr (C30);75 - 79;13;23;
1999;Nasenhöhle und Mittelohr (C30);80 - 84;13;8;
1999;Nasenhöhle und Mittelohr (C30);85+;20;8;
1999;Nasennebenhöhle (C31);0 - 4;<5;<5;
1999;Nasennebenhöhle (C31);5 - 9;<5;<5;
1999;Nasennebenhöhle (C31);10 - 14;<5;<5;
1999;Nasennebenhöhle (C31);15 - 19;<5;<5;
1999;Nasennebenhöhle (C31);20 - 24;<5;<5;
1999;Nasennebenhöhle (C31);25 - 29;<5;<5;
1999;Nasennebenhöhle (C31);30 - 34;<5;<5;
1999;Nasennebenhöhle (C31);35 - 39;<5;7;
1999;Nasennebenhöhle (C31);40 - 44;7;9;
1999;Nasennebenhöhle (C31);45 - 49;6;17;
1999;Nasennebenhöhle (C31);50 - 54;6;17;
1999;Nasennebenhöhle (C31);55 - 59;10;24;
1999;Nasennebenhöhle (C31);60 - 64;7;33;
1999;Nasennebenhöhle (C31);65 - 69;7;24;
1999;Nasennebenhöhle (C31);70 - 74;9;24;
1999;Nasennebenhöhle (C31);75 - 79;11;18;
1999;Nasennebenhöhle (C31);80 - 84;8;8;
1999;Nasennebenhöhle (C31);85+;10;8;
1999;Kehlkopf (C32);0 - 4;<5;<5;
1999;Kehlkopf (C32);5 - 9;<5;<5;
1999;Kehlkopf (C32);10 - 14;<5;<5;
1999;Kehlkopf (C32);15 - 19;<5;<5;
1999;Kehlkopf (C32);20 - 24;<5;<5;
1999;Kehlkopf (C32);25 - 29;<5;<5;
1999;Kehlkopf (C32);30 - 34;<5;<5;
1999;Kehlkopf (C32);35 - 39;5;18;
